date,twse_close,tsmc_close,nasdaq_close,nvidia_close,sox_close
2022-10-20,12946.099609375,397.5,10614.83984375,12.194000244140623,2253.219970703125
2022-10-21,12819.2001953125,389.5,10859.7197265625,12.465999603271484,2336.68994140625
2022-10-24,12856.98046875,387.0,10952.6103515625,12.598999977111816,2351.550048828125
2022-10-25,12666.1201171875,371.0,11199.1201171875,13.26099967956543,2404.68994140625
2022-10-26,12729.0498046875,376.0,10970.990234375,12.895999908447266,2376.330078125
2022-10-27,12926.3701171875,385.5,10792.669921875,13.175999641418455,2340.60009765625
2022-10-28,12788.419921875,379.5,11102.4501953125,13.833999633789062,2433.659912109375
2022-10-31,12949.75,390.0,10988.150390625,13.496999740600586,2384.449951171875
2022-11-01,13037.2099609375,391.5,10890.849609375,13.54300022125244,2402.75
2022-11-02,13100.169921875,395.0,10524.7998046875,13.218999862670898,2328.469970703125
2022-11-03,12986.599609375,384.0,10342.9404296875,13.42099952697754,2292.85009765625
2022-11-04,13026.7099609375,382.0,10475.25,14.156000137329102,2398.239990234375
2022-11-07,13223.73046875,390.0,10564.51953125,14.300999641418455,2450.6201171875
2022-11-08,13347.759765625,399.0,10616.2001953125,14.60200023651123,2503.389892578125
2022-11-09,13638.8095703125,417.0,10353.169921875,13.776000022888184,2424.820068359375
2022-11-10,13503.759765625,407.5,11114.150390625,15.75,2672.5
2022-11-11,14007.5595703125,441.5,11323.330078125,16.32699966430664,2754.89990234375
2022-11-14,14174.900390625,445.0,11196.2197265625,16.295000076293945,2728.050048828125
2022-11-15,14546.3095703125,480.0,11358.41015625,16.666000366210938,2810.610107421875
2022-11-16,14537.349609375,487.0,11183.66015625,15.90999984741211,2690.820068359375
2022-11-17,14535.23046875,485.0,11144.9599609375,15.677000045776367,2719.10009765625
2022-11-18,14504.990234375,487.0,11146.0595703125,15.409000396728516,2724.030029296875
2022-11-21,14449.3896484375,482.0,11024.509765625,15.31700038909912,2675.830078125
2022-11-22,14542.2001953125,491.0,11174.41015625,16.038000106811523,2756.820068359375
2022-11-23,14608.5400390625,492.0,11285.3203125,16.518999099731445,2786.419921875
2022-11-24,14784.0,496.0,,,
2022-11-25,14778.509765625,498.0,11226.3603515625,16.270000457763672,2751.27001953125
2022-11-28,14556.8701171875,480.5,11049.5,15.82699966430664,2678.780029296875
2022-11-29,14709.6396484375,487.0,10983.7802734375,15.638999938964844,2670.64990234375
2022-11-30,14879.5498046875,490.0,11468.0,16.92300033569336,2826.85009765625
2022-12-01,15012.7998046875,498.5,11482.4501953125,17.135000228881836,2804.699951171875
2022-12-02,14970.6796875,492.5,11461.5,16.875999450683594,2771.239990234375
2022-12-05,14980.740234375,489.0,11239.9404296875,16.610000610351562,2738.050048828125
2022-12-06,14728.8798828125,478.0,11014.8896484375,15.987000465393066,2673.530029296875
2022-12-07,14630.009765625,475.0,10958.5498046875,16.1200008392334,2673.25
2022-12-08,14553.0400390625,471.5,11082.0,17.16900062561035,2744.72998046875
2022-12-09,14705.4296875,481.5,11004.6201171875,17.000999450683594,2721.02001953125
2022-12-12,14612.58984375,475.0,11143.740234375,17.53499984741211,2779.2099609375
2022-12-13,14522.9599609375,471.5,11256.8095703125,18.07200050354004,2821.530029296875
2022-12-14,14739.3603515625,480.5,11170.8896484375,17.673999786376953,2777.27001953125
2022-12-15,14734.1298828125,480.5,10810.5302734375,16.95199966430664,2661.409912109375
2022-12-16,14528.5498046875,471.0,10705.41015625,16.570999145507812,2636.10009765625
2022-12-19,14433.3203125,466.5,10546.0302734375,16.253999710083008,2599.860107421875
2022-12-20,14170.0302734375,457.5,10547.1103515625,16.084999084472656,2583.639892578125
2022-12-21,14234.400390625,459.0,10709.3701171875,16.500999450683594,2644.5
2022-12-22,14442.9404296875,468.0,10476.1201171875,15.33899974822998,2533.330078125
2022-12-23,14271.6298828125,455.0,10497.8603515625,15.206000328063965,2535.489990234375
2022-12-26,14285.1298828125,456.5,,,
2022-12-27,14328.4296875,457.0,10353.23046875,14.121000289916992,2490.169921875
2022-12-28,14173.099609375,451.0,10213.2900390625,14.03600025177002,2453.489990234375
2022-12-29,14085.01953125,446.0,10478.08984375,14.602999687194824,2534.949951171875
2022-12-30,14137.6904296875,448.5,10466.48046875,14.61400032043457,2532.110107421875
2023-01-03,14224.1201171875,453.0,10386.98046875,14.3149995803833,2500.989990234375
2023-01-04,14199.1298828125,449.5,10458.759765625,14.74899959564209,2569.4599609375
2023-01-05,14301.0498046875,458.5,10305.240234375,14.265000343322754,2518.52001953125
2023-01-06,14373.33984375,458.5,10569.2900390625,14.859000205993652,2636.10009765625
2023-01-09,14752.2099609375,481.0,10635.650390625,15.628000259399414,2686.75
2023-01-10,14802.9599609375,486.0,10742.6298828125,15.909000396728516,2721.2900390625
2023-01-11,14751.4404296875,484.5,10931.669921875,16.000999450683594,2755.360107421875
2023-01-12,14731.6396484375,486.5,11001.099609375,16.51099967956543,2789.64990234375
2023-01-13,14824.1298828125,500.0,11079.16015625,16.89900016784668,2800.659912109375
2023-01-16,14927.009765625,505.0,,,
2023-01-17,14932.9296875,503.0,11095.1103515625,17.70199966430664,2807.47998046875
2023-01-18,,,10957.009765625,17.37700080871582,2789.469970703125
2023-01-19,,,10852.26953125,16.764999389648438,2710.43994140625
2023-01-20,,,11140.4296875,17.839000701904297,2794.68994140625
2023-01-23,,,11364.41015625,19.19300079345703,2934.830078125
2023-01-24,,,11334.26953125,19.26499938964844,2913.739990234375
2023-01-25,,,11313.3603515625,19.322999954223633,2918.989990234375
2023-01-26,,,11512.41015625,19.802000045776367,2966.60009765625
2023-01-27,,,11621.7099609375,20.364999771118164,2945.27001953125
2023-01-30,15493.8203125,543.0,11393.8095703125,19.16200065612793,2866.68994140625
2023-01-31,15265.2001953125,522.0,11584.5498046875,19.53700065612793,2921.919921875
2023-02-01,15420.1298828125,530.0,11816.3203125,20.94300079345703,3073.469970703125
2023-02-02,15595.16015625,540.0,12200.8203125,21.708999633789062,3141.840087890625
2023-02-03,15602.66015625,542.0,12006.9501953125,21.100000381469727,3082.110107421875
2023-02-06,15392.8203125,526.0,11887.4501953125,21.089000701904297,3029.739990234375
2023-02-07,15400.91015625,523.0,12113.7900390625,22.17300033569336,3124.14990234375
2023-02-08,15618.169921875,540.0,11910.51953125,22.204999923706055,3055.6298828125
2023-02-09,15598.7099609375,540.0,11789.580078125,22.336999893188477,3059.6201171875
