date,TSMC,SOX,TWSE,NASDAQ
2023-07-31,565.0,3861.6298828125,17145.4296875,14346.01953125
2023-08-01,567.0,3858.2099609375,17212.869140625,14283.91015625
2023-08-02,561.0,3711.60009765625,16893.73046875,13973.4501953125
2023-08-03,,3708.080078125,,13959.7197265625
2023-08-04,554.0,3699.199951171875,16843.6796875,13909.240234375
2023-08-07,558.0,3739.409912109375,16996.0,13994.400390625
2023-08-08,552.0,3679.419921875,16877.0703125,13884.3203125
2023-08-09,554.0,3610.47998046875,16870.939453125,13722.01953125
2023-08-10,551.0,3597.02001953125,16634.69921875,13737.990234375
2023-08-11,546.0,3514.550048828125,16601.25,13644.849609375
2023-08-14,541.0,3615.449951171875,16393.66015625,13788.330078125
2023-08-15,542.0,3553.9599609375,16454.80078125,13631.0498046875
2023-08-16,542.0,3480.080078125,16446.779296875,13474.6298828125
2023-08-17,544.0,3446.35009765625,16516.66015625,13316.9296875
2023-08-18,539.0,3462.739990234375,16381.3095703125,13290.7802734375
2023-08-21,537.0,3560.739990234375,16381.490234375,13497.58984375
2023-08-22,541.0,3527.68994140625,16437.609375,13505.8701171875
2023-08-23,552.0,3602.010009765625,16576.900390625,13721.0302734375
2023-08-24,564.0,3481.300048828125,16770.869140625,13463.9697265625
2023-08-25,546.0,3495.64990234375,16481.580078125,13590.650390625
2023-08-28,549.0,3537.8701171875,16509.259765625,13705.1298828125
2023-08-29,552.0,3629.570068359375,16623.650390625,13943.759765625
2023-08-30,555.0,3643.919921875,16719.8203125,14019.3095703125
2023-08-31,549.0,3670.929931640625,16634.509765625,14034.9697265625
2023-09-01,548.0,3682.840087890625,16644.939453125,14031.8095703125
2023-09-04,557.0,,16789.689453125,
2023-09-05,552.0,3683.7900390625,16791.609375,14020.9501953125
2023-09-06,550.0,3654.4599609375,16738.16015625,13872.4697265625
2023-09-07,542.0,3582.110107421875,16619.140625,13748.830078125
2023-09-08,539.0,3565.989990234375,16576.01953125,13761.5302734375
2023-09-11,536.0,3569.22998046875,16432.94921875,13917.8896484375
2023-09-12,544.0,3541.090087890625,16572.7109375,13773.6103515625
2023-09-13,541.0,3560.4599609375,16581.509765625,13813.58984375
2023-09-14,550.0,3584.22998046875,16807.560546875,13926.0498046875
2023-09-15,558.0,3476.389892578125,16920.919921875,13708.330078125
2023-09-18,540.0,3492.469970703125,16698.240234375,13710.240234375
2023-09-19,538.0,3459.02001953125,16636.3203125,13678.1904296875
2023-09-20,535.0,3398.81005859375,16534.75,13469.1298828125
2023-09-21,527.0,3338.85009765625,16316.669921875,13223.98046875
2023-09-22,522.0,3365.2900390625,16344.48046875,13211.8095703125
2023-09-25,525.0,3389.4599609375,16452.23046875,13271.3203125
2023-09-26,519.0,3329.6201171875,16276.0703125,13063.6103515625
2023-09-27,522.0,3361.409912109375,16310.3603515625,13092.849609375
2023-09-28,523.0,3420.989990234375,16353.740234375,13201.2802734375
2023-09-29,,3434.2900390625,,13219.3203125
2023-10-02,533.0,3448.85009765625,16557.310546875,13307.76953125
2023-10-03,529.0,3376.580078125,16454.33984375,13059.4697265625
2023-10-04,520.0,3424.919921875,16273.3798828125,13236.009765625
2023-10-05,528.0,3406.97998046875,16453.51953125,13219.830078125
2023-10-06,532.0,3475.2099609375,16520.5703125,13431.33984375
2023-10-09,,3467.35009765625,,13484.240234375
2023-10-10,,3512.070068359375,,13562.83984375
2023-10-11,544.0,3537.830078125,16672.029296875,13659.6796875
2023-10-12,550.0,3548.6201171875,16825.91015625,13574.2197265625
2023-10-13,553.0,3452.969970703125,16782.5703125,13407.23046875
2023-10-16,545.0,3502.510009765625,16652.240234375,13567.98046875
2023-10-17,551.0,3474.659912109375,16642.55078125,13533.75
2023-10-18,540.0,3413.449951171875,16440.91015625,13314.2998046875
2023-10-19,546.0,3367.77001953125,16452.73046875,13186.1796875
2023-10-20,556.0,3316.139892578125,16440.720703125,12983.8095703125
2023-10-23,544.0,3298.5400390625,16251.3603515625,13018.330078125
2023-10-24,544.0,3343.93994140625,16309.759765625,13139.8701171875
2023-10-25,544.0,3205.840087890625,16358.8896484375,12821.2197265625
2023-10-26,531.0,3188.419921875,16073.740234375,12595.6103515625
2023-10-27,533.0,3227.090087890625,16134.6103515625,12643.009765625
2023-10-30,532.0,3185.179931640625,16149.6796875,12789.48046875
2023-10-31,529.0,3215.889892578125,16001.26953125,12851.240234375
2023-11-01,528.0,3290.949951171875,16038.5595703125,13061.4697265625
2023-11-02,547.0,3368.5400390625,16396.94921875,13294.1904296875
2023-11-03,549.0,3454.570068359375,16507.650390625,13478.2802734375
2023-11-06,550.0,3444.889892578125,16649.359375,13518.7802734375
2023-11-07,555.0,3471.4599609375,16684.94921875,13639.8603515625
2023-11-08,556.0,3472.669921875,16740.830078125,13650.41015625
2023-11-09,557.0,3452.340087890625,16745.650390625,13521.4501953125
2023-11-10,557.0,3591.739990234375,16682.669921875,13798.1103515625
2023-11-13,571.0,3556.75,16839.2890625,13767.740234375
2023-11-14,572.0,3685.570068359375,16915.7109375,14094.3798828125
2023-11-15,581.0,3712.090087890625,17128.779296875,14103.83984375
2023-11-16,583.0,3724.10009765625,17171.1796875,14113.669921875
2023-11-17,580.0,3748.64990234375,17208.94921875,14125.48046875
2023-11-20,577.0,3805.81005859375,17210.470703125,14284.5302734375
2023-11-21,585.0,3732.7900390625,17416.69921875,14199.98046875
2023-11-22,577.0,3744.9599609375,17310.259765625,14265.8603515625
2023-11-23,578.0,,17294.55078125,
2023-11-24,575.0,3747.929931640625,17287.419921875,14250.849609375
2023-11-27,568.0,3739.31005859375,17137.419921875,14241.01953125
2023-11-28,575.0,3718.35009765625,17341.25,14281.759765625
2023-11-29,574.0,3753.360107421875,17370.560546875,14258.490234375
2023-11-30,577.0,3724.580078125,17433.849609375,14226.2197265625
2023-12-01,579.0,3738.27001953125,17438.349609375,14305.0302734375
2023-12-04,574.0,3693.43994140625,17421.48046875,14185.490234375
2023-12-05,570.0,3672.39990234375,17328.009765625,14229.91015625
2023-12-06,570.0,3645.820068359375,17360.720703125,14146.7099609375
2023-12-07,566.0,3747.5400390625,17278.740234375,14339.990234375
2023-12-08,570.0,3774.169921875,17383.990234375,14403.9697265625
2023-12-11,574.0,3902.389892578125,17418.33984375,14432.490234375
2023-12-12,578.0,3930.179931640625,17450.630859375,14533.400390625
2023-12-13,577.0,3990.949951171875,17468.9296875,14733.9599609375
2023-12-14,582.0,4097.47021484375,17653.109375,14761.5595703125
2023-12-15,585.0,4117.0,17673.869140625,14813.919921875
2023-12-18,585.0,4103.7900390625,17652.029296875,14904.8095703125
2023-12-19,585.0,4125.56005859375,17576.55078125,15003.2197265625
2023-12-20,585.0,4007.659912109375,17635.19921875,14777.9404296875
2023-12-21,577.0,4118.58984375,17543.740234375,14963.8701171875
